article_id,date,title,company_name,stock_code,sweet_price,target_price,crazy_price,current_price_at_report,ticker,reached_target,reached_date,max_price_since
865,2026-03-23,🔥【強力買進】產品具備高進入門檻，獲利將跟隨產業趨勢爆發成長！,萊德光電,7717,,901.0,,643.0,7717.TWO,False,,680.0
863,2026-03-19,【買進】資本支出衝上天價，為同業成長之冠！,力成,6239,188.0,264.0,,205.5,6239.TW,False,,213.0
861,2026-03-16,【買進】通訊產品在光通訊帶動下，今年預估呈現高雙位數成長！,文曄,3036,200.0,305.0,,235.0,3036.TW,False,,257.0
857,2026-03-09,【買進】日韓大廠強勁需求，出貨動能延續至2026年！,,4768,300.0,505.0,,401.5,4768.TWO,True,2026-03-18,563.0
855,2026-03-06,【買進】台灣市場汰弱留強策略有成，今年將延續成長動能！,八方雲集,2753,,232.0,,182.5,2753.TW,False,,196.0
851,2026-03-02,【買進】基礎建設產品別優化，走往高毛利資料中心&低軌衛星！,穩懋,3105,,426.0,,331.5,3105.TWO,False,,381.0
849,2026-02-26,【買進】高毛利自製設備占比持續提升，在手訂單滿載！,揚博,2493,,161.0,180.0,124.5,2493.TW,False,,125.0
847,2026-02-23,【買進】轉往發展電子化學材料，毛利率大幅超過整體平均！,國精化,4722,160.0,233.0,270.0,179.5,4722.TW,False,,223.5
843,2026-02-09,【買進】高階應用進程，上半年小量試產，下半年開始逐步放量！,台達電,2308,,1565.0,1880.0,1180.0,2308.TW,False,,1530.0
841,2026-02-05,🔥【強力買進】AI、記憶體、訂單外溢等多重動能，本業進入⾼速成⻑期！,超豐,2441,80.0,117.0,,86.2,2441.TW,False,,100.5
839,2026-02-02,【買進】金融業專案 x 半導體大客戶 x 海外拓展，獲利再締新猷！,,7767,,60.0,,4.17,7767.TWO,False,,50.3
837,2026-01-30,【買進】產品往等級高精度整合邁進，技術門檻與結構更為複雜！,,2382,,356.0,2382.0,,2382.TW,False,,302.0
834,2026-01-26,【買進】2026 全年營收年增近 30%，獲利重返榮耀！,日電貿,3090,,128.0,,99.5,3090.TW,False,,103.0
832,2026-01-23,【買進】攜手知名龍頭廠商搶攻CPO，轉型AI關鍵廠商 !,大立光,3008,2250.0,3160.0,,2460.0,3008.TW,False,,2480.98
828,2026-01-19,🔥【強力買進】台灣唯一代理正規團，漲價效益將逐步顯現在營收上 !,至上,8112,70.0,110.0,,82.1,8112.TW,False,,97.9
820,2026-01-12,【買進】結盟海外攻高階材，將迎黃金成長期 !,南亞,1303,53.0,85.0,,64.7,1303.TW,True,2026-02-23,96.5
818,2026-01-09,【買進】產業趨勢帶動，2026開始本業進入高速成長期！,東捷,8064,40.0,60.0,,46.2,8064.TWO,,2026-01-16,70.8
815,2026-01-05,【買進】最壞情況已過，2026開始本業進入高速成長期！,燿華,2367,26.0,36.0,,27.3,2367.TW,True,2026-01-13,80.7
813,2026-01-02,【買進】營收結構大換血，自有品牌推升毛利率至歷史高峰！,,6761,119.0,170.0,,,6761.TWO,True,2026-03-06,181.0
811,2025-12-30,【買進】電力傳輸的隱形冠軍，毛利率站上4字頭的結構性質變！,瀚荃,8103,70.0,111.0,,86.0,8103.TW,False,,109.5
807,2025-12-27,【買進】價格暴漲 15倍只是訊號，模組成戰略物資，迎來倍數級獲利爆發！,十銓,4967,,200.0,,159.5,4967.TW,True,2026-01-05,288.5
804,2025-12-23,🔥【強力買進】華麗轉身，DDR4在手訂單上看7500萬美元！,駿吉-KY,1591,,72.0,,49.6,1591.TWO,False,,54.6
801,2025-12-18,【買進】AI 伺服器線材將帶來新成長曲線,,3550,12.0,17.5,,13.25,3550.TW,True,2026-01-29,22.65
798,2025-12-16,🔥【強力買進】什麼東西漲幅竟然1500% ?!,凌航,3135,58.0,86.8,,62.8,3135.TW,True,2025-12-31,157.0
791,2025-12-09,【買進】AI及新能源，產品組合大升級，3Q25毛利率已衝上歷史新高！,,5243,,106.0,,82.5,5243.TW,False,,92.8
789,2025-12-05,🔥【強力買進】營收獲利全面上修，預期進入爆發期！,今國光,6209,50.0,80.0,,56.3,6209.TW,True,2026-01-27,80.5
784,2025-12-01,"🔥【強力買進】手握近年最大工程統包案，光未施工訂單就突破2,000億元！",,6139,,616.0,822.0,440.5,6139.TW,True,2025-12-17,640.0
781,2025-11-27,🔥【強力買進】需求爆發，切入 GB300核心供應鏈，推升2026年獲利！,,3324,,1263.0,3324.0,,3324.TWO,False,,1200.0
773,2025-11-18,【買進】因AI伺服器滲透率提升帶動需求，將達到以往的數十倍！,國E,2327,,300.0,332.0,,2327.TW,True,2026-01-19,306.5
763,2025-11-07,【買進】即將進入傳統旺季，新車價格創新高，帶動拉貨動能！,東陽,1319,84.0,126.0,,100.0,1319.TW,False,,116.0
759,2025-11-04,【買進】高毛利產品占比從提升至目前的5成以上，今年由虧轉盈，明年EPS翻倍成長！,今國光,6209,38.0,59.0,,45.25,6209.TW,True,2025-11-20,80.5
757,2025-10-31,【買進】AI、記憶體需求強勁+產品報價調漲，2026年動能將明顯優於今年！,景碩,3189,130.0,177.0,250.0,136.5,3189.TW,True,2026-01-07,398.0
753,2025-10-28,🔥【強力買進】受惠AI 伺服器需求大增，營收跟獲利全面上修，潛在漲幅預估仍有34%！,凌航,3135,39.0,65.0,90.0,48.5,3135.TW,True,2025-12-04,157.0
750,2025-10-23,【買進】在AI伺服器強勁動能帶動下，預期4Q25將再創新高！,JPP-KY,5284,,340.0,,267.0,5284.TW,False,,334.5
747,2025-10-20,【買進】聯手打造AI產線，貢獻逐月放量，營收會續創新高！,鴻海,2317,,309.0,,238.5,2317.TW,False,,265.0
743,2025-10-17,【買進】中國生產轉單成最大成長動能，預估明年EPS成長6成以上,泰金-KY,6629,95.0,155.0,215.0,122.0,6629.TWO,True,2025-11-07,157.42
737,2025-10-07,【買進】高成長低評價，伺服器占比有望達75%，合約負債季增1倍創高,技嘉,2376,,410.0,,,2376.TW,False,,317.0
734,2025-10-01,🔥【強力買進】即將出貨給台積電，獲利營收將呈現倍數跳增！,晶彩科,3535,,113.0,,82.4,3535.TW,True,2026-01-20,149.0
730,2025-09-25,🔥【強力買進】美國市場將迎來史詩級訂單，營收預估將迎來大爆發！,東元,1504,,146.0,,98.9,1504.TW,False,,127.5
727,2025-09-22,【買進】應用先進封裝等高成長產業，毛利歷史新高，3-5年內將無明顯競爭對手,群翊,6664,,340.0,,264.5,6664.TWO,False,,323.5
724,2025-09-19,【買進】新廠擴產帶動需求，材料營收成長近2成，預估2026年營收挑戰連三年創新高！,,5434,273.0,373.0,,296.5,5434.TW,False,,355.0
719,2025-09-16,【買進】切入美系CSP客戶，預計4Q25還會有新客戶加入！,優群,3217,155.0,230.0,,181.0,3217.TWO,False,,208.5
711,2025-09-08,【買進】台積電合作夥伴，關鍵製程節點都有切入，A I資本支出浪潮推升供應鏈升級,志聖,2467,,257.0,,,2467.TW,True,2025-12-31,401.0
708,2025-09-05,【買進】主機板一路升級！2026新規格上線，潛在 AI上修機會，獲利有望創下新高,嘉澤,3533,,1938.0,,,3533.TW,True,2026-03-18,2190.0
704,2025-09-02,【買進】預估2026-2028年營收CARG高達4成以上，獲利進入高速成長期！,系統電,5309,,71.0,100.0,54.6,5309.TWO,True,2025-09-09,82.0
691,2025-08-22,🔥【強力買進】智慧聯網商機爆發，訂單規模暴增，預估營收YOY將成長350%,達運光電,8045,,170.0,220.0,124.5,8045.TW,False,,133.0
681,2025-08-15,🔥【強力買進】受惠台積電廠房建置，半導體應用佔九成，台美中建廠潮將帶動營運拉升,,4770,,368.0,,274.5,4770.TW,False,,345.0
671,2025-08-08,【買進】新市場預計2026年底出貨放量，打破壟斷，迎接高速成長,新應材,4749,550.0,842.0,,,4749.TWO,True,2025-09-01,1030.0
668,2025-08-05,【買進】聚焦「半導體」電子級化學品，高純產線Q4量產，獲利三級跳,中華化,1727,25.0,42.2,63.0,33.2,1727.TW,True,2025-08-20,63.6
665,2025-08-01,【買進】AI伺服器背後嚴格的安全與性能服務，全球紛紛搶建AI資料中心，抓住商機營運起飛,東研信超,6840,40.0,66.0,99.0,51.3,6840.TWO,True,2025-08-29,83.8
662,2025-07-29,【買進】具備實質獲利的熱門題材概念股，市場預估需求每年成長89%，準備再開新廠拚產能！,華星光,4979,160.0,252.0,,,4979.TWO,True,2025-12-03,504.0
660,2025-07-25,【買進】打入GOOGLE、AI眼鏡供應鏈，微電子業務受惠中系去美化與Wi-Fi升級雙利多,全新,2455,126.0,191.0,,146.5,2455.TW,True,2026-01-21,262.0
648,2025-07-18,🔥【強力買進】爆炸性成長220%的商機，就藏在這些「高速成長」的線材裡！,萬泰科,6190,30.0,51.0,71.0,37.9,6190.TWO,True,2025-08-11,59.5
641,2025-07-15,🔥【強力買進】台幣升值受惠產業+機票下修雙利多，目前訂單能見度已達今年第四季,五福,2745,120.0,190.0,,134.5,2745.TWO,False,,133.9
635,2025-07-11,【買進】資安軟體代理商，訂閱制與海外布局雙動能，擁高市占轉單紅利,零壹,3029,112.0,144.0,180.0,113.5,3029.TW,False,,124.89
627,2025-07-08,【買進】第二大代工廠，滿載迎接旺季出貨，獲利毛利雙增!,廣越,4438,72.0,104.0,,80.7,4438.TW,False,,84.8
621,2025-07-04,【買進】手握近年最大工程統包案，認列快毛利高的半導體案+長營收穩的公共案，雙重接案！,亞翔,6139,263.0,395.0,,298.5,6139.TW,True,2025-09-11,640.0
615,2025-07-01,【買進】SWITCH 2遊戲機持續追加訂單，帶動風扇產品迎來強勁成長動能，預估2Q25營收將創高,茂達,6138,,227.0,,181.0,6138.TWO,True,2025-09-15,278.0
610,2025-06-27,【買進】台積電設備廠，先進製程成台積電營收來源，設備急拉貨,華景電,6788,192.0,303.0,367.0,,6788.TWO,True,2025-12-17,404.0
604,2025-06-23,【買進】無塵室機電系統整合廠，廠務工程訂單飆升，全球建廠潮引爆營收動能,聖暉,5536,350.0,535.0,,409.0,5536.TWO,True,2025-08-07,1008.06
602,2025-06-20,【買進】製鞋雙刀主題式報告，川普不做的大餅，台廠來做,,,,,,,,,,
595,2025-06-17,【買進】多樣化伺服器解決方案廠商，新產能4Q25開始貢獻，有效降低關稅風險!,迎廣,6117,75.0,125.0,,98.5,6117.TW,False,,106.53
585,2025-06-10,【買進】AI伺服器連接器新兵，當AI與高速運算一飛衝天，誰掌握了背後那條不起眼的線 ?,宏致,3605,47.0,70.0,,55.4,3605.TW,True,2025-08-12,84.6
580,2025-06-06,【買進】提高眼睛肺活量廠商，矽水膠不只是升級版，它是隱形眼鏡界的「肺活量王者」！,視陽,6782,,245.0,277.0,,6782.TW,False,,216.0
574,2025-06-03,【買進】SWITCH 感測大廠，二代來勢洶洶，有望成為富二代 ?,原相,3227,,281.0,,219.5,3227.TWO,False,,260.0
570,2025-05-29,【買進】任天堂開賣受惠股，台灣預計7/10開始販售SWITCH 2，動能來襲！,展碁國際,6776,55.0,71.5,90.0,56.2,6776.TW,True,2026-03-19,75.5
565,2025-05-27,🔥【強力買進】內需無塵室機電工程統包廠，龍頭率先創歷史新高，族群有望一同被帶動！,洋基,6691,,587.0,,439.0,6691.TW,True,2025-12-12,705.0
550,2025-05-16,【買進】鋼構雙劍主題式報告，當市場只看科技，我們卻看到「鋼鐵的春天」正悄悄回來！,,,,,,,,,,
537,2025-05-09,【買進】拿下全球前十大電信商訂單，搭上網安+訂閱制雙成長引擎，2025年獲利有望重返高峰,立端,6245,,106.0,141.0,80.8,6245.TWO,,,88.58
532,2025-05-06,🔥【強力買進】巨星開唱受惠概念股，演唱會門票靠自己賺,必應,6625,,99.0,126.0,73.8,6625.TW,True,2025-07-01,112.5
527,2025-05-02,【買進】無人機軍武浪潮狂飆，搶吃高毛利國防大餅，供應鏈將大幅受惠,,3416,,175.0,,139.0,3416.TW,False,,88.58
522,2025-04-28,🔥【強力買進】智慧醫療成長，工控蓄勢待發，博弈客戶今年成長2成,安勤,3479,,133.0,151.0,93.3,3479.TW,True,2025-05-02,211.0
